Estação,Código,Latitude,Longitude,Altitude,Estado,Municipio,Chuva,Vazao,Data
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 18:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 18:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:45:00
