data utc tins tmax tmin urins urmax urmin tdins tdmax tdmin presins presmax presmin vel dir raj rad prec
03/01/2019 0600 21,5 27,0 21,0 93,0 94,0 80,0 20,4 25,6 19,5 981,3 991,5 981,3 4,6 158,0 13,0 1,21 3,8
03/01/2019 0700 21,4 21,6 21,2 92,0 94,0 92,0 20,1 20,3 20,0 985,1 985,1 981,3 3,2 165,0 9,9 0,0 2,4
03/01/2019 0800 21,3 21,5 21,0 94,0 94,0 92,0 20,2 20,3 19,9 989,2 989,2 985,1 3,1 157,0 8,3 0,0 4,8
03/01/2019 0900 21,4 21,5 21,2 94,0 94,0 93,0 20,4 20,4 20,1 992,0 992,0 989,2 1,3 346,0 7,0 0,0 0,4
03/01/2019 1000 21,3 21,4 21,1 95,0 95,0 94,0 20,5 20,5 20,1 994,1 994,1 992,0 1,5 137,0 3,9 44,89 4,8
03/01/2019 1100 21,5 21,5 21,2 96,0 96,0 95,0 20,7 20,7 20,4 996,0 996,0 994,1 0,8 163,0 3,4 147,92 3,6
03/01/2019 1200 21,9 21,9 21,4 96,0 96,0 95,0 21,2 21,2 20,6 997,7 997,7 996,1 1,1 69,0 2,4 294,71 5,6
03/01/2019 1300 22,3 22,5 21,7 93,0 96,0 92,0 21,0 21,6 21,0 998,3 998,9 997,7 1,1 162,0 3,4 531,51 0,8
03/01/2019 1400 22,3 22,3 22,1 93,0 94,0 92,0 21,1 21,2 20,8 996,0 998,3 996,0 1,0 354,0 4,5 209,85 0,8
03/01/2019 1500 22,1 22,3 21,8 95,0 95,0 93,0 21,3 21,4 20,8 996,8 996,8 995,9 1,2 228,0 3,1 242,03 4,4
03/01/2019 1600 22,9 23,2 21,9 89,0 95,0 89,0 21,0 22,1 21,0 1000,8 1000,8 996,8 2,9 107,0 6,4 952,77 3,0
03/01/2019 1700 25,4 25,4 22,9 85,0 91,0 82,0 22,6 22,6 20,9 1003,1 1003,1 1000,8 2,1 69,0 6,6 1823,21 0,0
03/01/2019 1800 26,0 26,7 25,1 75,0 85,0 73,0 21,3 22,6 21,1 1004,0 1004,5 1003,1 1,4 80,0 5,8 2261,72 0,0
03/01/2019 1900 25,3 26,4 25,3 78,0 78,0 73,0 21,1 21,7 20,6 996,4 1004,1 996,4 1,6 221,0 3,6 1123,74 0,2
03/01/2019 2000 22,1 25,5 22,1 84,0 84,0 77,0 19,2 21,4 19,1 988,9 996,4 988,9 3,8 179,0 10,4 615,36 0,0
03/01/2019 2100 22,1 22,2 21,7 84,0 85,0 84,0 19,3 19,5 18,9 988,0 988,9 985,8 3,5 163,0 9,3 522,66 0,0
03/01/2019 2200 20,8 22,1 20,8 86,0 87,0 84,0 18,3 19,3 18,2 988,9 988,9 988,0 3,6 157,0 9,6 361,99 0,0
03/01/2019 2300 20,4 20,8 20,3 87,0 87,0 85,0 18,1 18,3 18,0 990,2 990,2 988,9 2,5 170,0 7,7 90,30 0,0
04/01/2019 0000 20,3 20,4 20,3 85,0 87,0 85,0 17,6 18,2 17,6 992,8 992,8 990,2 2,9 101,0 7,2 0,0 0,0
04/01/2019 0100 19,6 20,3 19,5 81,0 85,0 80,0 16,2 17,6 16,2 993,6 993,6 992,8 2,5 123,0 6,5 0,0 0,0
04/01/2019 0200 18,8 19,6 18,8 84,0 84,0 81,0 16,1 16,4 16,1 994,3 994,3 993,6 1,7 112,0 5,8 0,0 0,0
04/01/2019 0300 18,7 18,9 18,5 84,0 85,0 84,0 16,0 16,2 15,9 995,1 995,1 994,3 2,6 119,0 4,6 0,0 0,0
04/01/2019 0400 18,2 18,7 18,1 88,0 88,0 84,0 16,1 16,2 15,9 995,7 995,7 995,1 1,6 131,0 4,7 0,0 0,0
04/01/2019 0500 17,7 18,2 17,5 91,0 92,0 88,0 16,3 16,3 16,1 995,5 996,0 995,4 1,3 148,0 3,2 0,0 0,0
04/01/2019 0600 17,7 17,7 17,5 92,0 92,0 91,0 16,3 16,4 16,2 996,0 996,0 995,5 1,9 117,0 4,0 0,0 0,0
04/01/2019 0700 17,4 17,7 17,3 93,0 94,0 92,0 16,3 16,4 16,1 996,5 996,5 996,0 1,7 150,0 4,0 0,0 0,0
04/01/2019 0800 17,4 17,5 17,3 93,0 94,0 93,0 16,2 16,4 16,2 997,4 997,4 996,5 1,6 138,0 4,7 0,0 0,0
04/01/2019 0900 18,0 18,0 17,4 91,0 93,0 91,0 16,4 16,4 16,2 999,9 999,9 997,4 1,9 126,0 5,4 2,57 0,0
04/01/2019 1000 18,4 18,4 18,0 89,0 91,0 89,0 16,6 16,7 16,3 1001,5 1001,5 999,9 2,7 116,0 5,9 163,48 0,0
04/01/2019 1100 19,7 19,7 18,4 86,0 89,0 85,0 17,2 17,2 16,6 1003,8 1003,8 1001,5 2,8 112,0 6,5 495,23 0,0
04/01/2019 1200 21,4 21,4 19,7 79,0 86,0 78,0 17,6 17,7 16,8 1008,3 1008,3 1003,8 2,9 98,0 6,6 1405,41 0,0
04/01/2019 1300 22,5 23,3 20,6 79,0 81,0 73,0 18,7 19,1 16,7 1008,8 1009,5 1008,3 2,6 104,0 6,3 2560,67 0,0
04/01/2019 1400 23,9 24,0 22,3 77,0 80,0 72,0 19,5 19,6 17,6 1006,1 1009,2 1006,1 2,3 106,0 7,1 3153,09 0,0
04/01/2019 1500 25,4 25,4 23,8 75,0 79,0 71,0 20,6 20,6 18,8 1005,3 1006,4 1005,2 2,4 115,0 5,5 3634,40 0,0
04/01/2019 1600 25,9 26,3 25,1 72,0 77,0 69,0 20,6 21,2 19,2 1003,8 1005,7 1003,8 2,3 109,0 5,8 3503,01 0,0
04/01/2019 1700 26,3 27,1 25,4 68,0 74,0 65,0 19,9 21,2 19,2 1003,0 1003,9 1002,8 3,0 128,0 6,0 3798,73 0,0
04/01/2019 1800 26,9 27,3 26,1 68,0 70,0 64,0 20,5 21,1 19,3 1000,1 1003,0 1000,1 3,6 116,0 7,0 3460,28 0,0
04/01/2019 1900 27,5 28,2 26,4 62,0 69,0 57,0 19,5 21,0 18,8 999,4 1000,5 998,8 2,6 102,0 6,9 2680,08 0,0
04/01/2019 2000 27,7 28,4 26,6 57,0 64,0 56,0 18,5 20,4 18,1 998,6 1000,3 998,4 2,2 102,0 6,8 2120,12 0,0
04/01/2019 2100 27,4 27,7 26,7 58,0 61,0 56,0 18,5 19,1 17,7 996,3 998,7 996,0 2,7 111,0 6,3 1388,69 0,0
04/01/2019 2200 25,6 27,4 25,6 64,0 64,0 58,0 18,3 18,5 17,8 991,3 996,5 991,3 2,9 120,0 6,0 398,66 0,0
04/01/2019 2300 24,4 25,7 24,4 69,0 69,0 63,0 18,4 18,4 18,1 990,2 991,3 990,1 1,9 119,0 5,0 63,34 0,0
05/01/2019 0000 22,3 24,4 22,3 81,0 81,0 69,0 19,0 19,2 18,4 990,6 990,6 990,1 1,3 125,0 3,1 0,0 0,0
05/01/2019 0100 22,2 23,0 22,1 84,0 85,0 80,0 19,5 19,8 19,0 992,6 992,6 990,6 1,6 122,0 2,6 0,0 0,0
05/01/2019 0200 21,6 22,3 21,5 88,0 88,0 84,0 19,4 19,8 19,3 994,4 994,4 992,6 1,3 132,0 2,7 0,0 0,0
05/01/2019 0300 21,4 22,0 21,3 87,0 89,0 85,0 19,1 19,7 19,1 996,5 996,5 994,4 1,4 133,0 3,2 0,0 0,0
05/01/2019 0400 22,0 22,0 21,2 89,0 89,0 87,0 20,0 20,0 19,1 997,7 997,7 996,5 2,3 108,0 5,1 0,0 0,0
05/01/2019 0500 21,6 22,0 21,6 90,0 91,0 89,0 19,9 20,1 19,9 998,1 998,3 997,7 2,7 111,0 5,9 0,0 0,0
05/01/2019 0600 21,0 21,6 21,0 90,0 91,0 90,0 19,3 19,9 19,3 996,9 998,3 996,9 3,5 111,0 6,6 0,0 0,0
05/01/2019 0700 20,3 21,0 20,3 91,0 91,0 90,0 18,7 19,3 18,6 995,7 997,0 995,7 2,8 110,0 6,7 0,0 0,0
05/01/2019 0800 19,7 20,3 19,7 90,0 91,0 89,0 18,1 18,7 18,1 995,5 995,9 995,5 3,1 97,0 6,8 0,0 0,0
05/01/2019 0900 19,7 19,8 19,6 90,0 91,0 90,0 18,1 18,1 18,0 996,9 996,9 995,5 3,0 97,0 8,3 4,79 0,0
05/01/2019 1000 20,3 20,4 19,7 87,0 91,0 87,0 18,1 18,4 18,0 1001,1 1001,1 996,9 3,3 89,0 9,0 270,87 0,0
05/01/2019 1100 21,4 21,5 20,2 84,0 88,0 84,0 18,5 18,9 18,1 1003,9 1003,9 1001,1 3,6 93,0 9,6 785,27 0,0
05/01/2019 1200 22,6 22,6 21,0 78,0 85,0 78,0 18,5 19,3 18,1 1005,8 1005,8 1003,9 3,9 95,0 9,6 1574,39 0,0
05/01/2019 1300 23,0 23,7 22,3 77,0 81,0 75,0 18,8 20,0 18,4 1005,5 1007,3 1005,5 4,4 111,0 8,8 2279,46 0,0
05/01/2019 1400 24,4 24,5 23,0 76,0 79,0 73,0 19,9 20,2 18,8 1003,1 1005,5 1003,1 3,9 108,0 9,8 3368,17 0,0
05/01/2019 1500 25,8 26,0 24,1 71,0 77,0 71,0 20,2 21,0 19,1 1004,2 1004,2 1003,1 2,8 99,0 7,4 3730,52 0,0
05/01/2019 1600 27,4 27,6 25,2 74,0 78,0 69,0 22,2 22,3 19,8 1003,8 1004,4 1003,6 2,3 92,0 6,0 3914,53 0,0
05/01/2019 1700 28,1 28,3 26,7 71,0 74,0 65,0 22,3 22,4 20,4 1002,7 1004,1 1002,7 2,6 101,0 6,4 3705,99 0,0
05/01/2019 1800 29,1 29,1 28,1 63,0 71,0 63,0 21,4 22,8 21,2 1001,4 1003,0 1001,3 2,8 114,0 6,3 3638,94 0,0
05/01/2019 1900 29,1 29,7 28,4 62,0 68,0 61,0 20,9 22,7 20,8 999,8 1001,7 999,8 3,2 100,0 6,3 2939,53 0,0
05/01/2019 2000 29,6 29,7 28,9 64,0 66,0 59,0 22,2 22,3 20,5 997,4 999,8 997,3 2,8 99,0 6,5 2444,83 0,0
